gross,gross_imputed_mean,facenumber_in_poster,TittleCode,title_year,country
24985612.0,0,0,tt1390411,0,USA
4411102.0,0,0,tt0180052,0,USA
130174897.0,0,0,tt2452042,0,USA
10200000.0,0,0,tt0120176,0,USA
202007640.0,0,0,tt0209163,0,USA
77679638.0,0,0,tt0217505,0,USA
58867694.0,0,0,tt0423294,0,USA
59475623.0,0,0,tt0327162,0,USA
108638745.0,0,0,tt0265086,0,USA
86897182.0,0,0,tt1790886,0,USA
95328937.0,0,0,tt1261945,0,USA
50802661.0,0,0,tt0138749,0,USA
161317423.0,0,0,tt1667889,0,USA
201148159.0,0,0,tt1661199,0,USA
43982842.0,0,0,tt0380510,0,USA
380838870.0,0,0,tt0266543,0,USA
377019252.0,0,0,tt0167260,0,USA
340478898.0,0,0,tt0167261,0,USA
17176900.0,0,0,tt1121096,0,USA
131144183.0,0,0,tt0146316,0,USA
181166115.0,0,0,tt0163025,0,USA
176740650.0,0,0,tt1318514,0,USA
71148699.0,0,0,tt0416236,0,USA
67344392.0,0,0,tt1606378,0,USA
22406362.0,0,0,tt0318974,0,USA
261437578.0,0,0,tt0317705,0,USA
11000000.0,0,0,tt0112760,0,USA
250147615.0,0,0,tt0119654,0,USA
245823397.0,0,0,tt0120363,0,USA
81557479.0,0,0,tt0477080,0,USA
226138454.0,0,0,tt0266915,0,USA
155370362.0,0,0,tt0161081,0,USA
124870275.0,0,0,tt0844471,0,USA
196573705.0,0,0,tt1080016,0,USA
58229120.0,0,0,tt0359950,0,USA
125305545.0,0,0,tt0160127,0,USA
132373442.0,0,0,tt0407887,0,USA
120618403.0,0,0,tt0120762,0,USA
110416702.0,0,0,tt0942385,0,USA
102515793.0,0,0,tt1568346,0,USA
100012500.0,0,0,tt0112864,0,USA
209019489.0,0,0,tt0988045,0,USA
48468407.52680933,1,0,tt2638144,0,USA
84037039.0,0,0,tt0230011,0,USA
85884815.0,0,0,tt2974918,0,USA
83077470.0,0,0,tt0985699,0,USA
100018837.0,0,0,tt0960144,0,USA
78747585.0,0,0,tt2120120,0,USA
78616689.0,0,0,tt0212720,0,USA
75817994.0,0,0,tt0338094,0,USA
100853835.0,0,0,tt0118884,0,USA
73209340.0,0,0,tt0164052,0,USA
68558662.0,0,0,tt1854564,0,USA
65653758.0,0,0,tt0325703,0,USA
64685359.0,0,0,tt3110958,0,USA
61355436.0,0,0,tt0120053,0,USA
60874615.0,0,0,tt0183523,0,USA
143618384.0,0,0,tt1436562,0,USA
58220776.0,0,0,tt0182789,0,USA
47474112.0,0,0,tt0120461,0,USA
42877165.0,0,0,tt0118972,0,USA
56114221.0,0,0,tt1502712,0,USA
37567440.0,0,0,tt0082198,0,USA
61644321.0,0,0,tt0352248,0,USA
120147445.0,0,0,tt0329575,0,USA
241688385.0,0,0,tt0117998,0,USA
144512310.0,0,0,tt0232500,0,USA
233630478.0,0,0,tt0162222,0,USA
197992827.0,0,0,tt0366548,0,USA
176049130.0,0,0,tt0372183,0,USA
172620724.0,0,0,tt0118571,0,USA
183405771.0,0,0,tt0240772,0,USA
148313048.0,0,0,tt0837562,0,USA
127706877.0,0,0,tt0461770,0,USA
48468407.52680933,1,0,tt2243973,0,USA
126149655.0,0,0,tt1599348,0,USA
66941559.0,0,0,tt0211181,0,USA
78009155.0,0,0,tt0471042,0,USA
63224849.0,0,0,tt0457939,0,USA
111544445.0,0,0,tt0120660,0,USA
112703470.0,0,0,tt1230414,0,USA
117144465.0,0,0,tt0496806,0,USA
84303558.0,0,0,tt0400717,0,USA
150832203.0,0,0,tt1840309,0,USA
51396781.0,0,0,tt0215750,0,USA
47592825.0,0,0,tt0327850,0,USA
50016394.0,0,0,tt0107362,0,USA
57010853.0,0,0,tt0397535,0,USA
62494975.0,0,0,tt0463985,0,USA
44606335.0,0,0,tt0119643,0,USA
40048332.0,0,0,tt0233469,0,USA
48468407.52680933,1,0,tt0078754,0,USA
64933670.0,0,0,tt1667353,0,USA
31494270.0,0,0,tt0446029,0,USA
31111260.0,0,0,tt0298814,0,USA
123307945.0,0,0,tt0144528,0,USA
